 322	 187	  23	 189
 348	 518	  41	 520
 374	 553	  67	 556
 375	 555	  68	 558
 376	 556	  69	 559
 376	 557	  69	 560
 377	 558	  70	 561
 378	 456	  71	 459
 378	 559	  71	 562
 379	 457	  72	 460
 379	 458	  72	 461
 379	 560	  72	 563
 380	 459	  73	 462
 380	 561	  73	 564
 381	 460	  74	 463
 382	 446	  75	 449
 383	 187	  83	 190
 384	 464	  77	 466
 387	 186	  87	 189
 389	 441	  82	 444
 390	 436	  83	 439
 390	 437	  83	 440
 390	 438	  83	 441
 390	 439	  83	 442
 391	 582	  83	 585
 392	 584	  84	 587
 394	 587	  86	 590
 397	 184	  98	 187
 399	 183	 100	 186
 400	 183	 101	 186
 402	 182	 103	 185
 404	 181	 105	 184
 405	 226	 104	 230
 406	 225	 105	 229
 407	 224	 106	 228
 417	 305	 113	 309
 421	 197	 121	 201
 423	 196	 123	 200
 423	 288	 120	 292
 424	 286	 121	 290
 424	 561	 115	 565
 425	 195	 125	 199
 425	 284	 122	 288
 425	 285	 122	 289
 426	 194	 126	 198
 426	 282	 123	 286
 426	 283	 123	 287
 427	 193	 127	 197
 427	 280	 124	 284
 427	 281	 124	 285
 428	 278	 125	 282
 429	 276	 126	 280
 429	 558	 121	 562
 430	 190	 130	 194
 433	 191	 133	 195
 434	 556	 126	 560
 437	 192	 137	 196
 437	 269	 133	 274
 439	 268	 135	 273
 441	 193	 141	 197
 441	 267	 137	 272
 443	 266	 139	 271
 444	 266	 140	 271
 444	 554	 135	 559
 445	 265	 141	 270
 446	 265	 142	 270
 448	 264	 144	 269
 450	 554	 143	 559
 455	 263	 152	 268
 456	 132	 159	 136
 456	 263	 153	 268
 457	 131	 160	 135
 457	 263	 154	 268
 457	 555	 148	 560
 458	 131	 161	 135
 458	 263	 155	 268
 459	 130	 162	 134
 460	 129	 163	 133
 461	 128	 164	 132
 461	 262	 158	 267
 461	 556	 152	 561
 463	 261	 160	 266
 464	 124	 167	 128
 464	 557	 155	 562
 465	 123	 168	 127
 465	 260	 162	 265
 466	 260	 163	 265
 467	 122	 170	 126
 467	 259	 164	 264
 468	 121	 171	 125
 468	 259	 165	 264
 469	 121	 172	 125
 469	 259	 166	 264
 470	  13	 179	  15
 470	 120	 173	 124
 471	 120	 174	 124
 471	 258	 168	 263
 472	 120	 175	 124
 472	 258	 169	 263
 473	 120	 176	 124
 473	 259	 170	 264
 474	 259	 171	 264
 475	 259	 172	 264
 479	  26	 188	  29
 480	  25	 189	  28
 481	  24	 190	  27
 483	 261	 180	 266
 487	 565	 179	 571
 488	 565	 180	 571
 489	 566	 181	 572
 496	 257	 193	 263
 510	 667	 201	 673
 516	 256	 213	 262
 519	 125	 222	 130
 519	 257	 216	 263
 520	 126	 223	 131
 521	 127	 224	 132
 521	 257	 218	 263
 524	 128	 227	 133
 527	 709	 218	 715
 535	 248	 232	 255
 537	 246	 235	 252
 539	 245	 237	 251
 540	 244	 238	 250
 541	 244	 239	 250
 543	 244	 241	 250
 545	 245	 243	 251
 555	 158	 257	 164
 560	 126	 263	 132
 562	 125	 265	 131
 565	 123	 269	 129
 565	 160	 266	 166
 566	 160	 267	 166
 567	 161	 268	 167
 568	 122	 272	 128
 568	 161	 269	 167
 568	 444	 260	 452
 569	 122	 273	 128
 569	 161	 270	 167
 569	 449	 261	 457
 569	 452	 261	 460
 570	 121	 274	 127
 570	 162	 271	 168
 570	 459	 262	 467
 571	 121	 275	 127
 571	 162	 272	 168
 572	 162	 273	 168
 573	 120	 277	 126
 573	 692	 264	 699
 574	 120	 278	 126
 574	 691	 265	 698
 576	 119	 280	 125
 576	 690	 267	 697
 585	 680	 276	 687
 587	 270	 284	 278
 590	 270	 287	 278
 592	 270	 289	 278
 594	 120	 298	 126
 595	 120	 299	 126
 597	 121	 301	 127
 598	 121	 302	 127
 601	 122	 305	 128
 602	 123	 306	 129
 604	 277	 302	 285
 605	 278	 303	 286
 606	 278	 304	 286
 608	 279	 306	 287
 609	 239	 308	 247
 610	 281	 308	 289
 610	 474	 303	 483
 621	 241	 320	 249
 635	 128	 340	 135
 635	 129	 340	 136
 635	 130	 340	 137
 635	 131	 340	 138
 635	 132	 340	 139
 635	 133	 340	 140
 636	 120	 341	 127
 636	 121	 341	 128
 636	 122	 341	 129
 636	 123	 341	 130
 636	 124	 341	 131
 636	 125	 341	 132
 636	 126	 341	 133
 636	 138	 341	 145
 637	 118	 342	 125
 638	 117	 343	 124
 646	 244	 346	 253
 651	 245	 351	 254
 659	 246	 359	 255
 665	 246	 366	 255
 679	 497	 373	 507
 685	 311	 383	 321
 687	 312	 385	 322
 695	 315	 393	 325
 706	 165	 411	 174
 706	 166	 411	 175
 706	 167	 411	 176
 706	 168	 411	 177
 707	 489	 401	 499
 710	 315	 408	 326
 710	 494	 404	 504
 711	 315	 409	 326
 711	 475	 405	 487
 712	 315	 410	 326
 712	 474	 406	 486
 713	 473	 407	 485
 715	 315	 414	 325
 715	 470	 409	 482
 716	 469	 410	 481
 717	 312	 416	 322
 717	 360	 414	 370
 717	 468	 411	 480
 718	 360	 415	 370
 718	 467	 412	 479
 719	 360	 416	 370
 720	 464	 414	 476
 721	 463	 415	 475
 724	 378	 421	 388
 727	 233	 430	 244
 728	 233	 431	 244
 732	 230	 436	 241
 733	 450	 428	 462
 734	 449	 429	 461
 738	 173	 444	 183
 738	 359	 437	 370
 740	 360	 439	 371
 740	 445	 434	 458
 742	 239	 445	 250
 742	 444	 436	 457
 743	 175	 449	 185
 743	 241	 446	 252
 744	 242	 447	 253
 744	 243	 447	 254
 744	 396	 444	 409
 744	 397	 444	 410
 744	 398	 444	 411
 745	 244	 448	 255
 746	 245	 449	 256
 746	 246	 449	 257
 746	 247	 449	 258
 746	 277	 448	 287
 747	 276	 449	 286
 749	 253	 452	 264
 750	 255	 453	 266
 752	 358	 451	 369
 753	 160	 459	 172
 753	 359	 452	 370
